"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"67608_at","67608_at",0.0464903258695371,0.000249947988545898,4.28714381301778,0.560462772723645,0.154577220254653,67608
"18628_at","18628_at",0.047399463833417,0.000258375213548345,4.27414677914677,0.530549450155798,0.397997336839446,18628
"64898_at","64898_at",0.0474391121328976,0.000263192183527036,4.26690585332437,0.513886458009758,0.107263782843846,64898
"16973_at","16973_at",0.0474391121328976,0.000265676031210224,-4.26322344952364,0.505413094016723,-0.219591647984616,16973
"241494_at","241494_at",0.0482603750097381,0.000277739631655124,4.24581212817886,0.465355317908716,0.154204911383015,241494
"71890_at","71890_at",0.0482603750097381,0.000278488637195278,-4.24475602567631,0.462925920849348,-0.124275600723262,71890
"71275_at","71275_at",0.0482603750097381,0.000287796274787636,4.23186275770342,0.433270369970477,0.178244279692891,71275
"237256_at","237256_at",0.0482603750097381,0.000287919580136543,-4.23169474717055,0.432883974249418,-0.200775115222019,237256
"71893_at","71893_at",0.0482603750097381,0.000289008641406058,4.23021393702341,0.429478409765241,0.166825877060735,71893
"69906_at","69906_at",0.0482603750097381,0.000291897429494384,4.22631272149453,0.420506813884466,0.119326382029076,69906
"12753_at","12753_at",0.0483326396302547,0.000298923478557591,-4.21698215543205,0.399051853705862,-0.198786105062882,12753
"171281_at","171281_at",0.0483326396302547,0.000302639946895063,4.21213444646275,0.387906306617952,0.41019047403571,171281
"12916_at","12916_at",0.0483326396302547,0.000308809197676783,-4.2042164609695,0.369703901741063,-0.123170594262306,12916
"17347_at","17347_at",0.0483326396302547,0.000309048108807132,4.20391299776121,0.369006333212158,0.121957785027544,17347
"53897_at","53897_at",0.0483326396302547,0.000310567373883418,4.20198867379353,0.364582997453416,0.295557468370895,53897
"77065_at","77065_at",0.0483326396302547,0.000313988922329164,-4.19768891069969,0.354699956989559,-0.119140848100943,77065
"230676_at","230676_at",0.0484500452884076,0.000319749303291356,-4.19055405379585,0.338302239667675,-0.172512019517398,230676
"22145_at","22145_at",0.0484500452884076,0.000326584437403114,-4.18225177160075,0.319224390242702,-0.111301251733422,22145
"17133_at","17133_at",0.0484500452884076,0.000331898795002278,4.17591506215165,0.304665396714964,0.304143144753678,17133
"12550_at","12550_at",0.0484500452884076,0.000335604700520026,-4.1715555675343,0.294650288234052,-0.138784545613338,12550
"19243_at","19243_at",0.0484500452884076,0.000336510441353572,4.17049735422365,0.292219382731472,0.118403330806227,19243
"26379_at","26379_at",0.0484500452884076,0.0003376508231186,4.16916901426314,0.28916802481152,0.126766413222176,26379
"98845_at","98845_at",0.0484500452884076,0.000340076482759134,-4.16635830495369,0.282711768513217,-0.184856272526843,98845
"12190_at","12190_at",0.0489425730063102,0.000347188204569853,4.15823092705844,0.264045213526812,0.215225813788552,12190
"19729_at","19729_at",0.0504096473682344,0.000362701873650281,-4.14106040022662,0.224619865621565,-0.155128807905496,19729
